Symbol,Name,Market Cap,P/E,EPS,Net Income,Beta,Dividend,Div Yield,Extended Hr Last Price,Extended Hr Change ,%Chg (Ext),Time,Last Price,Change,%Chg,Opinion,20D Rel Str,20D His Vol,20D Avg Vol,52W Low,52W High,Wtd Alpha,YTD %Chg,1M %Chg,3M %Chg,52W %Chg,Sector,ISIN,Volume
A,Agilent Technologies,42235084000,26.32,5.37,1240000000,1.11,0.922,0.64%,144.12,0,0.00%,4/5/2024,144.12,2.78,1.97%,88% Buy,53.65%,17.81%,1711680,96.8,151.58,12.11,3.66%,-0.16%,10.39%,4.37%,Health Technology,US00846U1016,1.656?M
AAL,American Airlines Gp,9009457000,5.24,2.64,822000000,1.57,N/A,0.00%,13.75,-0.01,-0.07%,4/5/2024,13.76,-0.07,-0.51%,8% Sell,41.11%,37.04%,28192830,10.86,19.08,2.39,0.15%,-6.20%,1.18%,-0.94%,Transportation,US02376R1023,30.632?M
AAPL,Apple Inc,2.62E+12,26.3,6.42,96995000000,1.27,0.96,0.57%,169.47,-0.11,-0.06%,4/5/2024,169.58,0.76,0.45%,88% Sell,40.73%,21.24%,64083164,159.78,199.62,-3,-11.92%,-0.32%,-6.40%,3.55%,Electronic Technology,US0378331005,42.104?M
ABBV,Abbvie Inc,3.01E+11,15.11,11.11,4863000000,0.58,5.99,3.52%,169.99,-0.01,-0.01%,4/5/2024,170,2.1,1.25%,56% Buy,41.80%,24.03%,6737740,130.96,182.89,10.74,9.70%,-5.11%,4.85%,5.72%,Health Technology,US00287Y1091,7.03?M
ABNB,Airbnb Inc Cl A,1.05E+11,36.85,4.31,4792000000,1.25,N/A,0.00%,161.77,0,0.00%,4/5/2024,161.77,2.93,1.84%,80% Buy,53.66%,22.45%,4004745,103.55,170.1,43.69,18.83%,1.53%,18.97%,40.25%,Consumer Services,US0090661010,2.226?M
ABT,Abbott Laboratories,1.93E+11,24.8,4.44,5723000000,0.74,2.08,1.87%,111.49,0.29,0.26%,4/5/2024,111.2,1.09,0.99%,40% Buy,43.22%,18.29%,6818020,89.67,121.64,7.55,1.03%,-6.14%,0.36%,6.71%,Health Technology,US0028241000,5.591?M
ACGL,Arch Capital Grp Ltd,35601260000,10.78,8.45,4443000000,0.57,N/A,0.00%,94.29,-0.61,-0.64%,4/5/2024,94.9,3.81,4.18%,100% Buy,67.94%,20.33%,1920730,68.31,95.01,38.54,27.78%,8.59%,23.55%,38.36%,Finance,BMG0450A1053,2.591?M
ACN,Accenture Plc,2.23E+11,27.68,11.94,6871560000,1.19,4.82,1.45%,333,0,0.00%,4/5/2024,333,2.53,0.77%,8% Buy,37.23%,38.31%,3169775,261.68,387.51,13.74,-5.10%,-11.64%,-1.08%,18.37%,Technology Services,IE00B4BNMY34,3.695?M
ADBE,Adobe Systems Inc,2.17E+11,36.49,13.35,5428000000,1.28,N/A,0.00%,485.291,0.171,0.04%,4/5/2024,485.12,-1.99,-0.41%,72% Sell,34.65%,56.87%,4922195,331.89,638.25,11.45,-18.69%,-10.96%,-14.08%,26.99%,Technology Services,US00724F1012,4.973?M
ADI,Analog Devices,96583040000,21.19,9.06,3314580000,1.17,3.5,1.80%,194.76,0,0.00%,4/5/2024,194.76,2.81,1.46%,100% Buy,51.65%,21.45%,3165120,154.99,202.77,5.74,-1.91%,2.61%,4.40%,2.31%,Electronic Technology,US0326541051,2.087?M
ADM,Archer Daniels Midland,32355018000,9.07,6.97,3483000000,0.77,1.85,2.92%,63.46,0,0.00%,4/5/2024,63.46,0.22,0.35%,40% Sell,64.66%,18.19%,6135395,50.72,87.3,-17.83,-12.13%,18.71%,-10.38%,-20.09%,Process Industries,US0394831020,3.348?M
